Country,Region-Geo,Continent,Region,Year,Leap Year,ChildrenPerWoman,CO2Emissions,DemocracyScore,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission
French Guiana,America - South,Central and South America,America,1952,[1952],5.011,0.409424201,,5706.512716,,,,,,53.048,,,,,,,,,,,26867,0.299,,,,,,,,,,,,,,11
French Polynesia,Oceania,Oceania,East Asia & Pacific,1952,[1952],6.009,,,15318.89424,,,,,,48.281,,,,,,,,,,,64335,16.084,,,,,,,,,,,,,,
Gabon,Africa - Central,Africa,Sub-Saharan Africa,1952,[1952],3.969,,,8586.95295,,,,,,36.79,,,,,,,,,,,470676,1.758,,,,,,,,,,,,,,
Gambia,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],5.271,0.039652357,,970.4613181,,,,,,30.129,,,,,,,,,,,277411,24.561,,,,,,,,,,,,,,11
Georgia,Asia - Western,Asia,Europe & Central Asia,1952,[1952],3.011,,-9,3479.868593,,,,,,60.445,,,,,,,,,,,3646426,52.316,,,,,,,,,,,,,,
Germany,Europe - Western,Europe,Europe & Central Asia,1952,[1952],2.111,8.851021079,10,14288.22879,,,,,,67.332,,,,,,,,,,,69086530,193.508,,,,,,,,,,,,,,611486.3333
Ghana,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.422,0.166173818,,1822.597874,,,143.4,,,41.917,,,,,,,,,,,5229464,21.923,,,,,,,,,,,,,,869
Gibraltar,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],,3.53090343,,,,,,,,,,,,,,,,,,,20769,3461.5,,,,,,,,,,,,,,73.33333333
Greece,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],2.291,0.621713542,4,6538.624264,,,48,,,65.617,,,,,,,,,,,7725959,58.549,,,,,,,,,,,,,,4803.333333
Greenland,America - North,North America,America,1952,[1952],5.96,4.433880965,,11041.80605,,,,,,,,,,,,,,,,,23982,0.011,,,,,,,71,,,,,,,106.3333333
Grenada,America - Central,Central and South America,America,1952,[1952],5.686,0.142631156,,2763.651376,,,,,,56.078,,,,,,,,,,,77122,224.192,,,,,,,,,,,,,,11
Guadeloupe,America - Central,Central and South America,America,1952,[1952],5.609,0.303684242,,5056.530212,,,,,,52.94,,,,,,,,,,,217331,127.467,,,,,,,,,,,,,,66
Guam,Oceania,Oceania,East Asia & Pacific,1952,[1952],5.493,,,,,,,,,56.879,,,,,,,,,,,61068,111.235,,,,,,,,,,,,,,
Guatemala,America - Central,Central and South America,America,1952,[1952],7.045,0.193585036,2,4856.475539,,,,,,41.845,,,,,,,,,,,3333591,30.615,,,,,,,173.9,,,,,,,645.3333333
Guernsey,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],,,,19173.93639,,,,,,,,,,,,,,,,,45725,,,,,,,,,,,,,,,
Guinea,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],5.993,,,1020.392985,,,,,,32.946,,,,,,,,,,,3181059,12.939,,,,,,,,,,,,,,
Guinea-Bissau,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],7.589,0.020467211,,811.8013011,,,,,,,,,,,,,,,,,537445,14.877,,,,,,,,,,,,,,11
Guyana,America - South,Central and South America,America,1952,[1952],5.579,0.768208321,,5492.212945,,,98.1,,,57.161,,,,,,,,,,,439117,2.043,,,,,,,,,,,,,,337.3333333
Haiti,America - Central,Central and South America,America,1952,[1952],6.299,0.04401803,-5,3680.733879,,,,,,37.26,,,,,,,,,,,3331968,120.071,,,,,,,76.8,,,,,,,146.6666667
Holy See,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],,,,,,,,,,,,,,,,,,,,,884,2009.091,,,,,,,,,,,,,,
Honduras,America - Central,Central and South America,America,1952,[1952],7.496,0.229138901,-3,4389.852407,,,,,,41.519,,,,,,,,,,,1568190,13.991,,,,,,,160.5,,,,,,,359.3333333
Hong Kong China,Asia - Eastern,Asia,East Asia & Pacific,1952,[1952],,,,6108.842419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Europe - Eastern,Europe,Europe & Central Asia,1952,[1952],2.722,2.838211258,-7,10527.34763,,,70,,,64.03,,,,,,,,,,,9594893,103.135,,,,,,,47.56,,,,,,,27232.33333
Iceland,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],3.822,5.250691236,,14535.37686,,,22.9,,,72.49,,,,,,,,,,,148044,1.437,,,,,,,61,,,,,,,777.3333333
India,Asia - Southern,Asia,South Asia,1952,[1952],5.902,0.191116549,9,1176.296864,,,,,,35.843,,,,,,,,,,,384822769,117.065,,,,,,,,,,,,,,73546
Indonesia,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],5.463,0.164781188,0,1499.363309,,,188.5,,,37.802,,,,,,,,,,,77258010,40.565,,,,,,,,,,,,,,12730.66667
Iran,Asia - Southern,Asia,Middle East & North Africa,1952,[1952],6.908,0.225612264,-1,5445.688952,,,,,,40.294,,,,,,,,,,,18153564,11.014,,,,,,,,,,,,,,4095.666667
Iraq,Asia - Western,Asia,Middle East & North Africa,1952,[1952],7.437,0.321977301,-4,7714.621131,,,213.5,,,37.217,,,,,,,,,,,6092562,13.9,,,,,,,,,,,,,,1961.666667
Ireland,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],3.409,3.2932367,10,10420.56066,,,42.1,,,67.2,,,,,,0.2670122,0.3428863,0.1927575,,,2923770,41.606,,,,,0.7878578,,,,,,5.85982,,,9628.666667
Isle of Man,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],,,,11305.20221,,,,,,,,,,,,,,,,,54907,95.991,,,,,,,,,,,,,,
Israel,Asia - Western,Asia,Middle East & North Africa,1952,[1952],4.322,2.523538907,10,8173.044257,,,43,,,65.128,,,,,,,,,,,1451533,65.547,,,,,,,,,,,,,,3663
Italy,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],2.366,1.074464868,10,9862.808311,,,61,,,65.94,,,,,,1.448375,2.164018,0.781904,,,47171699,156.551,,,,,4.781938,,,,,,10.84834,,,50684.33333
Jamaica,America - Central,Central and South America,America,1952,[1952],4.128,0.384630667,,5797.061761,,,87.4,,,58.082,,,,,,,,,,,1468075,133.571,,,,,,,,,,,,,,564.6666667
Japan,Asia - Eastern,Asia,East Asia & Pacific,1952,[1952],3.096,1.532500574,10,6433.912694,,,49.9,,,63.03,,,,,,2.010711,2.634626,1.42278,,,85174302,225.405,,,,,27.56517,,8.8,,,,4.584348,,,130529.6667
Jersey,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],,,,,,,,,,,,,,,,,,,,,58085,,,,,,,,,,,,,,,
Jordan,Asia - Western,Asia,Middle East & North Africa,1952,[1952],7.39,0.357599166,-1,3093.815615,,,165.2,,,46.064,,,,,,,,,,,543439,6.083,,,,,,,,,,,,,,194.3333333
Kazakhstan,Asia - Central,Asia,Europe & Central Asia,1952,[1952],4.385,,-9,7021.849046,,,,,,54.859,,,,,,,,,,,7041605,2.584,,,,,,,,,,,,,,
Kenya,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],7.45,0.248165633,,1707.081838,,,169.6,,,42.074,,,,,,,,,,,6412384,11.049,,,,,,,,,,,,,,1591.333333
Kiribati,Oceania,Oceania,East Asia & Pacific,1952,[1952],6.02,,,5380.922998,,,,,,43.289,,,,,,,,,,,27158,37.408,,,,,,,,,,,,,,
Kuwait,Asia - Western,Asia,Middle East & North Africa,1952,[1952],7.209,,,216764.7057,,,,,,52.898,,,,,,,,,,,174287,9.782,,,,,,,,,,,,,,
Kyrgyzstan,Asia - Central,Asia,Europe & Central Asia,1952,[1952],4.479,,-9,3520.150234,,,,,,52.598,,,,,,,,,,,1791952,,,,,,,,,,,,,,,
Latvia,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],2.004,,-9,6198.819828,,,,,,61.852,,,,,,,,,,,1965231,30.422,,,,,,,,,,,,,,
Lebanon,Asia - Western,Asia,Middle East & North Africa,1952,[1952],5.741,0.755490475,2,7989.893702,,,,,,60.261,,,,,,,,,,,1499688,144.201,,,,,,,,,,,,,,1133
Lesotho,Africa - Southern,Africa,Sub-Saharan Africa,1952,[1952],5.837,,,597.6924241,,,179.2,,,41.864,,,,,,,,,,,754883,24.868,,,,,,,,,,,,,,
Liberia,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.264,0.058455665,-6,1151.145992,,,216.4705951,,,33.02,,,,,,,,,,,940884,8.448,,,,,,,,,,,,,,55
Libya,Africa - Northern,Africa,Middle East & North Africa,1952,[1952],7.25,0.157411056,-7,4775.09612,,,,,,36.538,,,,,,,,,,,1048211,0.596,,,,,,,,,,,,,,165
Liechtenstein,Europe - Western,Europe,Europe & Central Asia,1952,[1952],,,,36365.16595,,,,,,,,,,,,,,,,,14133,88.331,,,,,,,,,,,,,,
Lithuania,Europe - Northern,Europe,Europe & Central Asia,1952,[1952],2.712,,-9,11169.7845,,,,,,64.492,,,,,,,,,,,2578052,39.48,,,,,,,,,,,,,,
Luxembourg,Europe - Western,Europe,Europe & Central Asia,1952,[1952],1.953,31.46079939,,28652.27559,,,,,,65.761,,,,,,,,,,,299060,115.646,,,,,,,,,,,,,,9408.666667
Macao  China,Asia - Eastern,Asia,East Asia & Pacific,1952,[1952],,,,4972.281506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],7.3,0.07233127,,2886.02343,,,,,,36.076,,,,,,,,,,,4258186,7.254,,,,,,,,,,,,,,308
Malawi,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],6.779,,,738.3301604,,,,,,36.232,,,,,,,,,,,2984164,25.186,,,,,,,,,,,,,,
Malaysia,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],6.226,,,3662.265789,,,,,,54.472,,,,,,,,,,,6433126,19.503,,,,,,,,,,,,,,
Maldives,Asia - Southern,Asia,South Asia,1952,[1952],5.943,,,953.8508394,,,,,,32.887,,,,,,,,,,,77940,252.03,,,,,,,,,,,,,,
Mali,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.465,,,904.6739615,,,,,,26.856,,,,,,,,,,,4750451,3.83,,,,,,,,,,,,,,
Malta,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],4.163,0.771895354,,4281.065628,,,,,,65.738,,,,,,,,,,,313514,992.133,,,,,,,,,,,,,,242
Marshall Islands,Oceania,Oceania,East Asia & Pacific,1952,[1952],,,,5690.814301,,,,,,,,,,,,,,,,,13432,74.21,,,,,,,,,,,,,,
Martinique,America - Central,Central and South America,America,1952,[1952],5.705,0.401469231,,6712.238127,,,,,,55.228,,,,,,,,,,,228328,207.194,,,,,,,,,,,,,,91.66666667
Mauritania,Africa - Western,Africa,Sub-Saharan Africa,1952,[1952],6.296,,,1486.231819,,,150.5,,,38.28,,,,,,,,,,,688526,0.671,,,,,,,,,,,,,,
Mauritius,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],5.897,0.3377555,,3935.911414,,,81,,,49.636,,,,,,,,,,,521087,255.435,,,,,,,,,,,,,,176
Mayotte,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],7.91,,,,,,,,,46.677,,,,,,,,,,,16468,44.032,,,,,,,,,,,,,,
Mexico,America - Central,Central and South America,America,1952,[1952],6.687,1.264038399,-6,6956.251058,,,,,,50.21,,,,,,,,,,,29465877,15.047,,,,,,,117.3,,,,,,,37246
Monaco,Europe - Western,Europe,Europe & Central Asia,1952,[1952],,,,23395.97233,,,,,,,,,,,,,,,,,19846,13319.463,,,,,,,,,,,,,,
Mongolia,Asia - Eastern,Asia,East Asia & Pacific,1952,[1952],5.537,0.371884846,-7,1573.133715,,,,,,42.917,,,,,,,,,,,808494,0.516,,,,,,,,,,,,,,300.6666667
Montenegro,Europe - Southern,Europe,Europe & Central Asia,1952,[1952],4.052,,-7,5295.171203,,,,,,59.556,,,,,,,,,,,407165,29.479,,,,,,,,,,,,,,
Montserrat,America - Central,Central and South America,America,1952,[1952],,,,6989.053111,,,,,,,,,,,,,,,,,14481,141.971,,,,,,,,,,,,,,
Morocco,Africa - Northern,Africa,Middle East & North Africa,1952,[1952],6.578,0.379936769,,3376.40714,,,,,,45.498,,,,,,,,,,,9390159,21.028,,,,,,,,,,,,,,3567.666667
Mozambique,Africa - Eastern,Africa,Sub-Saharan Africa,1952,[1952],6.6,0.161893862,,937.0520761,,,,,,31.034,,,,,,,,,,,6636035,8.279,,,,,,,,,,,,,,1074.333333
Myanmar,Asia - South Eastern,Asia,East Asia & Pacific,1952,[1952],6.002,0.063701061,8,1014.637713,,,,,,35.513,,,,,,,,,,,17786203,26.288,,,,,,,,,,,,,,1133
Namibia,Africa - Southern,Africa,Sub-Saharan Africa,1952,[1952],5.99,,,4847.560886,,,,,,41.386,,,,,,,,,,,504551,0.612,,,,,,,,,,,,,,
Nauru,Oceania,Oceania,East Asia & Pacific,1952,[1952],,,,6510.019241,,,,,,,,,,,,,,,,,3191,151.952,,,,,,,,,,,,,,
Nepal,Asia - Southern,Asia,South Asia,1952,[1952],5.993,0.003445894,-7,1091.731446,,,230.6,,,35.204,,,,,,,,,,,8512546,57.837,,,,,,,,,,,,,,29.33333333
Netherlands,Europe - Western,Europe,Europe & Central Asia,1952,[1952],3.09,5.328775876,10,15128.3374,,,22.7,,,72.13,,,,,,0.3440608,0.4674892,0.2280897,,,10275906,247.445,,,,,2.707686,,14.0625,,,,9.270905,,,54758
Netherlands Antilles,Europe - Western,Europe,America,1952,[1952],5.7,,,10554.35603,,,,,,60.02,,,,,,,,,,,116172,145.215,,,,,,,,,,,,,,
New Caledonia,Oceania,Oceania,East Asia & Pacific,1952,[1952],5.223,7.338680899,,20881.80491,,,,,,50.343,,,,,,,,,,,64453,3.47,,,,,,,,,,,,,,473
